id,area,time,population,area_km2,area_population_density,foot_traffic,area_type,socially_vulnerable_zone,minorities_zone,student_zone,nightlife_zone,day_of_week,hour,is_weekend,is_night,weather,incident_count
43,Maarjamõisa,2026-01-28 02:00:00,477,1.133,421,low,residential,0,0,0,0,Wednesday,2,0,1,clear,0
44,Raadi-Kruusamäe,2026-01-28 02:00:00,4804,2.828,1699,low,residential,0,0,0,0,Wednesday,2,0,1,clear,0
45,Ropka,2026-01-28 02:00:00,4710,1.442,3266,low,mixed,1,1,0,0,Wednesday,2,0,1,clear,0
46,Ropka tööstuse,2026-01-28 02:00:00,2198,3.249,676,low,commercial,1,1,0,0,Wednesday,2,0,1,clear,0
47,Ränilinn,2026-01-28 02:00:00,2189,1.222,1791,medium,mixed,0,0,0,0,Wednesday,2,0,1,clear,0
48,Supilinn,2026-01-28 02:00:00,2307,0.483,4776,low,residential,1,0,1,0,Wednesday,2,0,1,clear,0
49,Tammelinn,2026-01-28 02:00:00,8118,3.182,2551,low,residential,0,0,0,0,Wednesday,2,0,1,clear,1
50,Tähtvere,2026-01-28 02:00:00,3158,2.5,1263,low,residential,0,0,0,0,Wednesday,2,0,1,clear,0
51,Vaksali,2026-01-28 02:00:00,3091,0.666,4641,medium,mixed,0,0,1,1,Wednesday,2,0,1,clear,1
52,Variku,2026-01-28 02:00:00,1714,0.761,2252,low,residential,1,0,0,0,Wednesday,2,0,1,clear,0
53,Veeriku,2026-01-28 02:00:00,5070,2.823,1796,medium,residential,0,1,0,0,Wednesday,2,0,1,clear,0
54,Ülejõe,2026-01-28 02:00:00,7559,1.525,4957,medium,mixed,0,1,1,1,Wednesday,2,0,1,clear,1
55,Annelinn,2026-01-28 03:00:00,24981,4.91,5088,medium,residential,1,1,0,0,Wednesday,3,0,1,clear,0
56,Ihaste,2026-01-28 03:00:00,3050,4.8,635,low,residential,0,0,0,0,Wednesday,3,0,1,clear,0
57,Jaamamõisa,2026-01-28 03:00:00,3464,1.5,2309,low,residential,1,1,0,0,Wednesday,3,0,1,clear,0
58,Karlova,2026-01-28 03:00:00,8748,2.683,3261,medium,residential,1,0,1,1,Wednesday,3,0,1,clear,0
59,Kesklinn,2026-01-28 03:00:00,6956,1.799,3867,high,commercial,1,1,1,1,Wednesday,3,0,1,clear,1
60,Kvissentali,2026-01-28 03:00:00,865,1.509,573,low,residential,0,0,0,0,Wednesday,3,0,1,clear,0
61,Maarjamõisa,2026-01-28 03:00:00,477,1.133,421,low,residential,0,0,0,0,Wednesday,3,0,1,clear,0
62,Raadi-Kruusamäe,2026-01-28 03:00:00,4804,2.828,1699,low,residential,0,0,0,0,Wednesday,3,0,1,clear,0
63,Ropka,2026-01-28 03:00:00,4710,1.442,3266,low,mixed,1,1,0,0,Wednesday,3,0,1,clear,0
64,Ropka tööstuse,2026-01-28 03:00:00,2198,3.249,676,low,commercial,1,1,0,0,Wednesday,3,0,1,clear,0
65,Ränilinn,2026-01-28 03:00:00,2189,1.222,1791,medium,mixed,0,0,0,0,Wednesday,3,0,1,clear,0
66,Supilinn,2026-01-28 03:00:00,2307,0.483,4776,low,residential,1,0,1,0,Wednesday,3,0,1,clear,0
67,Tammelinn,2026-01-28 03:00:00,8118,3.182,2551,low,residential,0,0,0,0,Wednesday,3,0,1,clear,0
68,Tähtvere,2026-01-28 03:00:00,3158,2.5,1263,low,residential,0,0,0,0,Wednesday,3,0,1,clear,0
69,Vaksali,2026-01-28 03:00:00,3091,0.666,4641,medium,mixed,0,0,1,1,Wednesday,3,0,1,clear,0
70,Variku,2026-01-28 03:00:00,1714,0.761,2252,low,residential,1,0,0,0,Wednesday,3,0,1,clear,0
71,Veeriku,2026-01-28 03:00:00,5070,2.823,1796,medium,residential,0,1,0,0,Wednesday,3,0,1,clear,0
72,Ülejõe,2026-01-28 03:00:00,7559,1.525,4957,medium,mixed,0,1,1,1,Wednesday,3,0,1,clear,0
73,Annelinn,2026-01-28 04:00:00,24981,4.91,5088,medium,residential,1,1,0,0,Wednesday,4,0,1,clear,0
74,Ihaste,2026-01-28 04:00:00,3050,4.8,635,low,residential,0,0,0,0,Wednesday,4,0,1,clear,0
75,Jaamamõisa,2026-01-28 04:00:00,3464,1.5,2309,low,residential,1,1,0,0,Wednesday,4,0,1,clear,0
76,Karlova,2026-01-28 04:00:00,8748,2.683,3261,medium,residential,1,0,1,1,Wednesday,4,0,1,clear,0
77,Kesklinn,2026-01-28 04:00:00,6956,1.799,3867,high,commercial,1,1,1,1,Wednesday,4,0,1,clear,1
78,Kvissentali,2026-01-28 04:00:00,865,1.509,573,low,residential,0,0,0,0,Wednesday,4,0,1,clear,0
79,Maarjamõisa,2026-01-28 04:00:00,477,1.133,421,low,residential,0,0,0,0,Wednesday,4,0,1,clear,0
80,Raadi-Kruusamäe,2026-01-28 04:00:00,4804,2.828,1699,low,residential,0,0,0,0,Wednesday,4,0,1,clear,0
81,Ropka,2026-01-28 04:00:00,4710,1.442,3266,low,mixed,1,1,0,0,Wednesday,4,0,1,clear,0
82,Ropka tööstuse,2026-01-28 04:00:00,2198,3.249,676,low,commercial,1,1,0,0,Wednesday,4,0,1,clear,0
83,Ränilinn,2026-01-28 04:00:00,2189,1.222,1791,medium,mixed,0,0,0,0,Wednesday,4,0,1,clear,0
84,Supilinn,2026-01-28 04:00:00,2307,0.483,4776,low,residential,1,0,1,0,Wednesday,4,0,1,clear,0
85,Tammelinn,2026-01-28 04:00:00,8118,3.182,2551,low,residential,0,0,0,0,Wednesday,4,0,1,clear,0
86,Tähtvere,2026-01-28 04:00:00,3158,2.5,1263,low,residential,0,0,0,0,Wednesday,4,0,1,clear,0
87,Vaksali,2026-01-28 04:00:00,3091,0.666,4641,medium,mixed,0,0,1,1,Wednesday,4,0,1,clear,0
88,Variku,2026-01-28 04:00:00,1714,0.761,2252,low,residential,1,0,0,0,Wednesday,4,0,1,clear,0
89,Veeriku,2026-01-28 04:00:00,5070,2.823,1796,medium,residential,0,1,0,0,Wednesday,4,0,1,clear,0
90,Ülejõe,2026-01-28 04:00:00,7559,1.525,4957,medium,mixed,0,1,1,1,Wednesday,4,0,1,clear,0
91,Annelinn,2026-01-28 05:00:00,24981,4.91,5088,medium,residential,1,1,0,0,Wednesday,5,0,1,clear,0
92,Ihaste,2026-01-28 05:00:00,3050,4.8,635,low,residential,0,0,0,0,Wednesday,5,0,1,clear,0
93,Jaamamõisa,2026-01-28 05:00:00,3464,1.5,2309,low,residential,1,1,0,0,Wednesday,5,0,1,clear,0
94,Karlova,2026-01-28 05:00:00,8748,2.683,3261,medium,residential,1,0,1,1,Wednesday,5,0,1,clear,0
95,Kesklinn,2026-01-28 05:00:00,6956,1.799,3867,high,commercial,1,1,1,1,Wednesday,5,0,1,clear,0
96,Kvissentali,2026-01-28 05:00:00,865,1.509,573,low,residential,0,0,0,0,Wednesday,5,0,1,clear,0
97,Maarjamõisa,2026-01-28 05:00:00,477,1.133,421,low,residential,0,0,0,0,Wednesday,5,0,1,clear,0
98,Raadi-Kruusamäe,2026-01-28 05:00:00,4804,2.828,1699,low,residential,0,0,0,0,Wednesday,5,0,1,clear,1
99,Ropka,2026-01-28 05:00:00,4710,1.442,3266,low,mixed,1,1,0,0,Wednesday,5,0,1,clear,0
100,Ropka tööstuse,2026-01-28 05:00:00,2198,3.249,676,low,commercial,1,1,0,0,Wednesday,5,0,1,clear,0
101,Ränilinn,2026-01-28 05:00:00,2189,1.222,1791,medium,mixed,0,0,0,0,Wednesday,5,0,1,clear,0
102,Supilinn,2026-01-28 05:00:00,2307,0.483,4776,low,residential,1,0,1,0,Wednesday,5,0,1,clear,0
103,Tammelinn,2026-01-28 05:00:00,8118,3.182,2551,low,residential,0,0,0,0,Wednesday,5,0,1,clear,0
104,Tähtvere,2026-01-28 05:00:00,3158,2.5,1263,low,residential,0,0,0,0,Wednesday,5,0,1,clear,0
105,Vaksali,2026-01-28 05:00:00,3091,0.666,4641,medium,mixed,0,0,1,1,Wednesday,5,0,1,clear,0
106,Variku,2026-01-28 05:00:00,1714,0.761,2252,low,residential,1,0,0,0,Wednesday,5,0,1,clear,0
107,Veeriku,2026-01-28 05:00:00,5070,2.823,1796,medium,residential,0,1,0,0,Wednesday,5,0,1,clear,0
108,Ülejõe,2026-01-28 05:00:00,7559,1.525,4957,medium,mixed,0,1,1,1,Wednesday,5,0,1,clear,0
109,Annelinn,2026-01-28 06:00:00,24981,4.91,5088,medium,residential,1,1,0,0,Wednesday,6,0,0,clear,0
110,Ihaste,2026-01-28 06:00:00,3050,4.8,635,low,residential,0,0,0,0,Wednesday,6,0,0,clear,0
111,Jaamamõisa,2026-01-28 06:00:00,3464,1.5,2309,low,residential,1,1,0,0,Wednesday,6,0,0,clear,0
112,Karlova,2026-01-28 06:00:00,8748,2.683,3261,medium,residential,1,0,1,1,Wednesday,6,0,0,clear,0
113,Kesklinn,2026-01-28 06:00:00,6956,1.799,3867,high,commercial,1,1,1,1,Wednesday,6,0,0,clear,0
114,Kvissentali,2026-01-28 06:00:00,865,1.509,573,low,residential,0,0,0,0,Wednesday,6,0,0,clear,0
115,Maarjamõisa,2026-01-28 06:00:00,477,1.133,421,low,residential,0,0,0,0,Wednesday,6,0,0,clear,0
116,Raadi-Kruusamäe,2026-01-28 06:00:00,4804,2.828,1699,low,residential,0,0,0,0,Wednesday,6,0,0,clear,0
117,Ropka,2026-01-28 06:00:00,4710,1.442,3266,low,mixed,1,1,0,0,Wednesday,6,0,0,clear,0
118,Ropka tööstuse,2026-01-28 06:00:00,2198,3.249,676,low,commercial,1,1,0,0,Wednesday,6,0,0,clear,0
119,Ränilinn,2026-01-28 06:00:00,2189,1.222,1791,medium,mixed,0,0,0,0,Wednesday,6,0,0,clear,0
120,Supilinn,2026-01-28 06:00:00,2307,0.483,4776,low,residential,1,0,1,0,Wednesday,6,0,0,clear,0
121,Tammelinn,2026-01-28 06:00:00,8118,3.182,2551,low,residential,0,0,0,0,Wednesday,6,0,0,clear,0
122,Tähtvere,2026-01-28 06:00:00,3158,2.5,1263,low,residential,0,0,0,0,Wednesday,6,0,0,clear,0
123,Vaksali,2026-01-28 06:00:00,3091,0.666,4641,medium,mixed,0,0,1,1,Wednesday,6,0,0,clear,0
124,Variku,2026-01-28 06:00:00,1714,0.761,2252,low,residential,1,0,0,0,Wednesday,6,0,0,clear,0
125,Veeriku,2026-01-28 06:00:00,5070,2.823,1796,medium,residential,0,1,0,0,Wednesday,6,0,0,clear,0
126,Ülejõe,2026-01-28 06:00:00,7559,1.525,4957,medium,mixed,0,1,1,1,Wednesday,6,0,0,clear,0
127,Annelinn,2026-01-28 07:00:00,24981,4.91,5088,medium,residential,1,1,0,0,Wednesday,7,0,0,clear,0
128,Ihaste,2026-01-28 07:00:00,3050,4.8,635,low,residential,0,0,0,0,Wednesday,7,0,0,clear,0
129,Jaamamõisa,2026-01-28 07:00:00,3464,1.5,2309,low,residential,1,1,0,0,Wednesday,7,0,0,clear,0
130,Karlova,2026-01-28 07:00:00,8748,2.683,3261,medium,residential,1,0,1,1,Wednesday,7,0,0,clear,1
131,Kesklinn,2026-01-28 07:00:00,6956,1.799,3867,high,commercial,1,1,1,1,Wednesday,7,0,0,clear,0
132,Kvissentali,2026-01-28 07:00:00,865,1.509,573,low,residential,0,0,0,0,Wednesday,7,0,0,clear,0
133,Maarjamõisa,2026-01-28 07:00:00,477,1.133,421,low,residential,0,0,0,0,Wednesday,7,0,0,clear,0
134,Raadi-Kruusamäe,2026-01-28 07:00:00,4804,2.828,1699,low,residential,0,0,0,0,Wednesday,7,0,0,clear,0
135,Ropka,2026-01-28 07:00:00,4710,1.442,3266,low,mixed,1,1,0,0,Wednesday,7,0,0,clear,0
136,Ropka tööstuse,2026-01-28 07:00:00,2198,3.249,676,low,commercial,1,1,0,0,Wednesday,7,0,0,clear,0
137,Ränilinn,2026-01-28 07:00:00,2189,1.222,1791,medium,mixed,0,0,0,0,Wednesday,7,0,0,clear,0
138,Supilinn,2026-01-28 07:00:00,2307,0.483,4776,low,residential,1,0,1,0,Wednesday,7,0,0,clear,0
139,Tammelinn,2026-01-28 07:00:00,8118,3.182,2551,low,residential,0,0,0,0,Wednesday,7,0,0,clear,0
140,Tähtvere,2026-01-28 07:00:00,3158,2.5,1263,low,residential,0,0,0,0,Wednesday,7,0,0,clear,0
141,Vaksali,2026-01-28 07:00:00,3091,0.666,4641,medium,mixed,0,0,1,1,Wednesday,7,0,0,clear,0
142,Variku,2026-01-28 07:00:00,1714,0.761,2252,low,residential,1,0,0,0,Wednesday,7,0,0,clear,0
143,Veeriku,2026-01-28 07:00:00,5070,2.823,1796,medium,residential,0,1,0,0,Wednesday,7,0,0,clear,0
144,Ülejõe,2026-01-28 07:00:00,7559,1.525,4957,medium,mixed,0,1,1,1,Wednesday,7,0,0,clear,0
145,Annelinn,2026-01-28 08:00:00,24981,4.91,5088,medium,residential,1,1,0,0,Wednesday,8,0,0,clear,0
146,Ihaste,2026-01-28 08:00:00,3050,4.8,635,low,residential,0,0,0,0,Wednesday,8,0,0,clear,0
147,Jaamamõisa,2026-01-28 08:00:00,3464,1.5,2309,low,residential,1,1,0,0,Wednesday,8,0,0,clear,0
148,Karlova,2026-01-28 08:00:00,8748,2.683,3261,medium,residential,1,0,1,1,Wednesday,8,0,0,clear,0
149,Kesklinn,2026-01-28 08:00:00,6956,1.799,3867,high,commercial,1,1,1,1,Wednesday,8,0,0,clear,0
150,Kvissentali,2026-01-28 08:00:00,865,1.509,573,low,residential,0,0,0,0,Wednesday,8,0,0,clear,0
151,Maarjamõisa,2026-01-28 08:00:00,477,1.133,421,low,residential,0,0,0,0,Wednesday,8,0,0,clear,0
152,Raadi-Kruusamäe,2026-01-28 08:00:00,4804,2.828,1699,low,residential,0,0,0,0,Wednesday,8,0,0,clear,0
153,Ropka,2026-01-28 08:00:00,4710,1.442,3266,low,mixed,1,1,0,0,Wednesday,8,0,0,clear,0
154,Ropka tööstuse,2026-01-28 08:00:00,2198,3.249,676,low,commercial,1,1,0,0,Wednesday,8,0,0,clear,0
155,Ränilinn,2026-01-28 08:00:00,2189,1.222,1791,medium,mixed,0,0,0,0,Wednesday,8,0,0,clear,0
156,Supilinn,2026-01-28 08:00:00,2307,0.483,4776,low,residential,1,0,1,0,Wednesday,8,0,0,clear,0
157,Tammelinn,2026-01-28 08:00:00,8118,3.182,2551,low,residential,0,0,0,0,Wednesday,8,0,0,clear,1
158,Tähtvere,2026-01-28 08:00:00,3158,2.5,1263,low,residential,0,0,0,0,Wednesday,8,0,0,clear,0
159,Vaksali,2026-01-28 08:00:00,3091,0.666,4641,medium,mixed,0,0,1,1,Wednesday,8,0,0,clear,0
160,Variku,2026-01-28 08:00:00,1714,0.761,2252,low,residential,1,0,0,0,Wednesday,8,0,0,clear,0
161,Veeriku,2026-01-28 08:00:00,5070,2.823,1796,medium,residential,0,1,0,0,Wednesday,8,0,0,clear,0
162,Ülejõe,2026-01-28 08:00:00,7559,1.525,4957,medium,mixed,0,1,1,1,Wednesday,8,0,0,clear,1
163,Annelinn,2026-01-28 09:00:00,24981,4.91,5088,medium,residential,1,1,0,0,Wednesday,9,0,0,clear,0
164,Ihaste,2026-01-28 09:00:00,3050,4.8,635,low,residential,0,0,0,0,Wednesday,9,0,0,clear,0
165,Jaamamõisa,2026-01-28 09:00:00,3464,1.5,2309,low,residential,1,1,0,0,Wednesday,9,0,0,clear,0
166,Karlova,2026-01-28 09:00:00,8748,2.683,3261,medium,residential,1,0,1,1,Wednesday,9,0,0,clear,0
167,Kesklinn,2026-01-28 09:00:00,6956,1.799,3867,high,commercial,1,1,1,1,Wednesday,9,0,0,clear,2
168,Kvissentali,2026-01-28 09:00:00,865,1.509,573,low,residential,0,0,0,0,Wednesday,9,0,0,clear,0
169,Maarjamõisa,2026-01-28 09:00:00,477,1.133,421,low,residential,0,0,0,0,Wednesday,9,0,0,clear,0
170,Raadi-Kruusamäe,2026-01-28 09:00:00,4804,2.828,1699,low,residential,0,0,0,0,Wednesday,9,0,0,clear,0
171,Ropka,2026-01-28 09:00:00,4710,1.442,3266,low,mixed,1,1,0,0,Wednesday,9,0,0,clear,0
172,Ropka tööstuse,2026-01-28 09:00:00,2198,3.249,676,low,commercial,1,1,0,0,Wednesday,9,0,0,clear,0
173,Ränilinn,2026-01-28 09:00:00,2189,1.222,1791,medium,mixed,0,0,0,0,Wednesday,9,0,0,clear,0
174,Supilinn,2026-01-28 09:00:00,2307,0.483,4776,low,residential,1,0,1,0,Wednesday,9,0,0,clear,0
175,Tammelinn,2026-01-28 09:00:00,8118,3.182,2551,low,residential,0,0,0,0,Wednesday,9,0,0,clear,0
176,Tähtvere,2026-01-28 09:00:00,3158,2.5,1263,low,residential,0,0,0,0,Wednesday,9,0,0,clear,0
177,Vaksali,2026-01-28 09:00:00,3091,0.666,4641,medium,mixed,0,0,1,1,Wednesday,9,0,0,clear,0
178,Variku,2026-01-28 09:00:00,1714,0.761,2252,low,residential,1,0,0,0,Wednesday,9,0,0,clear,0
179,Veeriku,2026-01-28 09:00:00,5070,2.823,1796,medium,residential,0,1,0,0,Wednesday,9,0,0,clear,0
180,Ülejõe,2026-01-28 09:00:00,7559,1.525,4957,medium,mixed,0,1,1,1,Wednesday,9,0,0,clear,0
181,Annelinn,2026-01-28 10:00:00,24981,4.91,5088,medium,residential,1,1,0,0,Wednesday,10,0,0,clear,0
182,Ihaste,2026-01-28 10:00:00,3050,4.8,635,low,residential,0,0,0,0,Wednesday,10,0,0,clear,0
183,Jaamamõisa,2026-01-28 10:00:00,3464,1.5,2309,low,residential,1,1,0,0,Wednesday,10,0,0,clear,0
184,Karlova,2026-01-28 10:00:00,8748,2.683,3261,medium,residential,1,0,1,1,Wednesday,10,0,0,clear,0
185,Kesklinn,2026-01-28 10:00:00,6956,1.799,3867,high,commercial,1,1,1,1,Wednesday,10,0,0,clear,0
186,Kvissentali,2026-01-28 10:00:00,865,1.509,573,low,residential,0,0,0,0,Wednesday,10,0,0,clear,0
187,Maarjamõisa,2026-01-28 10:00:00,477,1.133,421,low,residential,0,0,0,0,Wednesday,10,0,0,clear,0
188,Raadi-Kruusamäe,2026-01-28 10:00:00,4804,2.828,1699,low,residential,0,0,0,0,Wednesday,10,0,0,clear,0
189,Ropka,2026-01-28 10:00:00,4710,1.442,3266,low,mixed,1,1,0,0,Wednesday,10,0,0,clear,0
190,Ropka tööstuse,2026-01-28 10:00:00,2198,3.249,676,low,commercial,1,1,0,0,Wednesday,10,0,0,clear,0
191,Ränilinn,2026-01-28 10:00:00,2189,1.222,1791,medium,mixed,0,0,0,0,Wednesday,10,0,0,clear,0
192,Supilinn,2026-01-28 10:00:00,2307,0.483,4776,low,residential,1,0,1,0,Wednesday,10,0,0,clear,0
193,Tammelinn,2026-01-28 10:00:00,8118,3.182,2551,low,residential,0,0,0,0,Wednesday,10,0,0,clear,0
194,Tähtvere,2026-01-28 10:00:00,3158,2.5,1263,low,residential,0,0,0,0,Wednesday,10,0,0,clear,0
195,Vaksali,2026-01-28 10:00:00,3091,0.666,4641,medium,mixed,0,0,1,1,Wednesday,10,0,0,clear,0
196,Variku,2026-01-28 10:00:00,1714,0.761,2252,low,residential,1,0,0,0,Wednesday,10,0,0,clear,0
197,Veeriku,2026-01-28 10:00:00,5070,2.823,1796,medium,residential,0,1,0,0,Wednesday,10,0,0,clear,0
198,Ülejõe,2026-01-28 10:00:00,7559,1.525,4957,medium,mixed,0,1,1,1,Wednesday,10,0,0,clear,1
199,Annelinn,2026-01-28 11:00:00,24981,4.91,5088,medium,residential,1,1,0,0,Wednesday,11,0,0,clear,0
200,Ihaste,2026-01-28 11:00:00,3050,4.8,635,low,residential,0,0,0,0,Wednesday,11,0,0,clear,0
201,Jaamamõisa,2026-01-28 11:00:00,3464,1.5,2309,low,residential,1,1,0,0,Wednesday,11,0,0,clear,0
202,Karlova,2026-01-28 11:00:00,8748,2.683,3261,medium,residential,1,0,1,1,Wednesday,11,0,0,clear,0
203,Kesklinn,2026-01-28 11:00:00,6956,1.799,3867,high,commercial,1,1,1,1,Wednesday,11,0,0,clear,0
204,Kvissentali,2026-01-28 11:00:00,865,1.509,573,low,residential,0,0,0,0,Wednesday,11,0,0,clear,0
205,Maarjamõisa,2026-01-28 11:00:00,477,1.133,421,low,residential,0,0,0,0,Wednesday,11,0,0,clear,0
206,Raadi-Kruusamäe,2026-01-28 11:00:00,4804,2.828,1699,low,residential,0,0,0,0,Wednesday,11,0,0,clear,0
207,Ropka,2026-01-28 11:00:00,4710,1.442,3266,low,mixed,1,1,0,0,Wednesday,11,0,0,clear,0
208,Ropka tööstuse,2026-01-28 11:00:00,2198,3.249,676,low,commercial,1,1,0,0,Wednesday,11,0,0,clear,0
209,Ränilinn,2026-01-28 11:00:00,2189,1.222,1791,medium,mixed,0,0,0,0,Wednesday,11,0,0,clear,0
210,Supilinn,2026-01-28 11:00:00,2307,0.483,4776,low,residential,1,0,1,0,Wednesday,11,0,0,clear,0
211,Tammelinn,2026-01-28 11:00:00,8118,3.182,2551,low,residential,0,0,0,0,Wednesday,11,0,0,clear,0
212,Tähtvere,2026-01-28 11:00:00,3158,2.5,1263,low,residential,0,0,0,0,Wednesday,11,0,0,clear,0
213,Vaksali,2026-01-28 11:00:00,3091,0.666,4641,medium,mixed,0,0,1,1,Wednesday,11,0,0,clear,0
214,Variku,2026-01-28 11:00:00,1714,0.761,2252,low,residential,1,0,0,0,Wednesday,11,0,0,clear,0
215,Veeriku,2026-01-28 11:00:00,5070,2.823,1796,medium,residential,0,1,0,0,Wednesday,11,0,0,clear,0
216,Ülejõe,2026-01-28 11:00:00,7559,1.525,4957,medium,mixed,0,1,1,1,Wednesday,11,0,0,clear,0
217,Annelinn,2026-01-28 12:00:00,24981,4.91,5088,medium,residential,1,1,0,0,Wednesday,12,0,0,clear,0
218,Ihaste,2026-01-28 12:00:00,3050,4.8,635,low,residential,0,0,0,0,Wednesday,12,0,0,clear,0
219,Jaamamõisa,2026-01-28 12:00:00,3464,1.5,2309,low,residential,1,1,0,0,Wednesday,12,0,0,clear,0
220,Karlova,2026-01-28 12:00:00,8748,2.683,3261,medium,residential,1,0,1,1,Wednesday,12,0,0,clear,0
221,Kesklinn,2026-01-28 12:00:00,6956,1.799,3867,high,commercial,1,1,1,1,Wednesday,12,0,0,clear,1
